@timestamp,agent.hostname,source.ip,source.port,destination.ip,destination.port,network.transport,network.packets,destination.bytes,source.bytes,bytes_in,bytes_out,Technique
"Sep 29, 2022 @ 13:31:30.024",webserver0logs,192.168.91.128,55166,192.168.91.1,14,tcp,2,0,148,0,0,1
"Sep 29, 2022 @ 13:31:40.017",webserver0logs,192.168.91.128,55166,192.168.91.1,14,tcp,2,0,148,0,0,1
"Sep 29, 2022 @ 13:31:40.017",webserver0logs,192.168.91.128,55166,192.168.91.1,14,tcp,2,0,148,0,0,1
"Sep 29, 2022 @ 13:31:50.019",webserver0logs,192.168.91.128,55166,192.168.91.1,14,tcp,2,0,148,0,0,1
"Sep 29, 2022 @ 13:31:50.019",webserver0logs,192.168.91.128,55166,192.168.91.1,14,tcp,2,0,148,0,0,1
"Sep 29, 2022 @ 13:32:00.019",webserver0logs,192.168.91.128,55166,192.168.91.1,14,tcp,2,0,148,0,0,1
"Sep 29, 2022 @ 13:32:00.019",webserver0logs,192.168.91.128,55166,192.168.91.1,14,tcp,2,0,148,0,0,1
"Oct 24, 2022 @ 13:26:30.002",dbserver,10.0.0.20,52184,10.0.0.21,15,0,2,56,76,0,0,0
"Oct 24, 2022 @ 13:26:30.002",webserver,10.0.0.20,52184,10.0.0.21,15,0,2,56,76,0,0,0
"Sep 29, 2022 @ 13:31:30.024",webserver0logs,192.168.91.128,49416,192.168.91.1,15,tcp,1,0,74,0,0,1
"Sep 29, 2022 @ 13:31:30.024",webserver0logs,192.168.91.128,49416,192.168.91.1,15,tcp,1,0,74,0,0,1
"Sep 29, 2022 @ 13:31:40.017",webserver0logs,192.168.91.128,49416,192.168.91.1,15,tcp,1,0,74,0,0,1
"Sep 29, 2022 @ 13:31:40.017",webserver0logs,192.168.91.128,49416,192.168.91.1,15,tcp,1,0,74,0,0,1
"Sep 29, 2022 @ 13:31:50.019",webserver0logs,192.168.91.128,49416,192.168.91.1,15,tcp,1,0,74,0,0,1
"Sep 29, 2022 @ 13:31:50.019",webserver0logs,192.168.91.128,49416,192.168.91.1,15,tcp,1,0,74,0,0,1
"Sep 29, 2022 @ 13:32:00.019",webserver0logs,192.168.91.128,49416,192.168.91.1,15,tcp,1,0,74,0,0,1
"Sep 29, 2022 @ 13:32:00.019",webserver0logs,192.168.91.128,49416,192.168.91.1,15,tcp,1,0,74,0,0,1
"Oct 24, 2022 @ 13:26:30.002",webserver,10.0.0.20,47782,10.0.0.21,16,0,2,56,76,0,0,0
"Oct 24, 2022 @ 13:26:30.002",dbserver,10.0.0.20,47782,10.0.0.21,16,0,2,56,76,0,0,0
"Oct 24, 2022 @ 13:26:30.002",dbserver,10.0.0.20,58782,10.0.0.21,17,0,2,56,76,0,0,0
"Oct 24, 2022 @ 13:26:30.002",webserver,10.0.0.20,58782,10.0.0.21,17,0,2,56,76,0,0,0
"Oct 24, 2022 @ 13:26:30.002",dbserver,10.0.0.20,37558,10.0.0.21,18,0,2,56,76,0,0,0
"Oct 24, 2022 @ 13:26:30.002",webserver,10.0.0.20,37558,10.0.0.21,18,0,2,56,76,0,0,0
