,Unnamed: 0,event.start,event.end,@timestamp,agent.ephemeral_id,destination.bytes,destination.ip,destination.mac,destination.packets,destination.port,event.duration,event.type,flow.final,flow.id,host.ip,host.mac,network.bytes,network.community_id,network.packets,network.transport,network.type,source.bytes,source.ip,source.mac,source.packets,source.port,Binary
781,567,143,137,20,0,0,0,0,0,0,47,0,0,122,1,1,6,90,4,0,0,5,0,0,4,24,1
782,596,153,148,29,0,1,0,0,1,185,118,0,0,137,1,1,1,29,1,0,0,0,0,0,0,560,0
783,596,153,148,29,0,1,0,0,1,424,186,0,0,137,1,1,1,29,1,0,0,0,0,0,0,49,0
784,277,86,82,4,0,0,0,0,0,136,0,0,0,121,1,1,0,53,0,0,0,0,0,0,0,279,1
785,152,61,57,5,0,0,0,0,0,111,0,0,0,117,1,1,0,84,0,0,0,0,0,0,0,277,1
786,270,84,80,5,0,0,0,0,0,134,0,0,0,102,1,1,0,41,0,0,0,0,0,0,0,299,1
787,155,62,58,6,0,0,0,0,0,112,0,1,1,36,1,1,0,37,0,0,0,0,0,0,0,280,1
788,570,143,137,21,0,0,0,0,0,0,47,0,0,122,1,1,6,90,4,0,0,5,0,0,4,24,1
789,596,153,148,29,0,1,0,0,1,362,80,0,0,137,1,1,1,29,1,0,0,0,0,0,0,90,0
790,596,153,148,29,0,1,0,0,1,326,71,0,0,137,1,1,1,29,1,0,0,0,0,0,0,409,0
791,596,153,148,29,0,1,0,0,1,299,49,0,0,137,1,1,1,29,1,0,0,0,0,0,0,70,0
792,79,43,41,2,0,0,0,0,0,93,0,0,0,87,1,1,0,62,0,0,0,0,0,0,0,597,0
793,596,153,148,29,0,1,0,0,1,107,52,0,0,137,1,1,1,29,1,0,0,0,0,0,0,448,0
794,6,6,5,0,0,0,0,0,0,56,0,1,1,1,1,1,0,136,0,0,0,0,0,0,0,242,1
795,524,139,132,13,0,0,0,0,0,11,0,0,0,128,1,1,0,74,0,0,0,0,0,0,0,218,1
796,596,153,148,29,0,1,0,0,1,84,209,0,0,137,1,1,1,29,1,0,0,0,0,0,0,578,0
797,197,69,65,4,0,0,0,0,0,119,0,0,0,74,1,1,0,64,0,0,0,0,0,0,0,355,0
798,126,55,52,3,0,0,0,0,0,105,0,1,1,152,1,1,0,87,0,0,0,0,0,0,0,557,1
799,128,55,52,2,0,0,0,0,0,105,0,0,0,152,1,1,0,87,0,0,0,0,0,0,0,557,1
800,596,153,148,29,0,1,0,0,1,280,217,0,0,137,1,1,1,29,1,0,0,0,0,0,0,134,0
801,422,125,118,7,0,0,0,0,0,175,0,0,0,86,1,1,0,11,0,0,0,0,0,0,0,458,1
802,596,153,148,29,0,1,0,0,1,40,62,0,0,137,1,1,1,29,1,0,0,0,0,0,0,593,0
803,578,144,139,28,0,0,0,0,0,1,0,0,0,38,1,1,0,57,0,0,0,0,0,0,0,556,1
804,376,108,102,6,0,0,0,0,0,158,0,0,0,123,1,1,0,115,0,0,0,0,0,0,0,104,1
805,596,153,148,29,0,1,0,0,1,249,77,0,0,137,1,1,1,29,1,0,0,0,0,0,0,472,0
806,596,153,148,29,0,1,0,0,1,406,229,0,0,137,1,1,1,29,1,0,0,0,0,0,0,254,0
807,472,132,125,12,0,0,0,0,0,4,0,0,0,10,1,1,0,82,0,0,0,0,0,0,0,435,1
808,198,69,65,6,0,0,0,0,0,119,0,1,1,74,1,1,0,64,0,0,0,0,0,0,0,355,1
