,Unnamed: 0,destination.bytes,destination.packets,event.duration,network.bytes,network.packets,source.bytes,source.packets,Binary
327,203,0,0,0.0,74,1,74,1,1
328,794,56,1,6310.0,132,2,74,1,0
329,794,56,1,9280.0,132,2,74,1,0
330,445,0,0,0.0,74,1,74,1,1
331,794,56,1,51500.0,132,2,74,1,0
332,794,56,1,6420.0,132,2,74,1,0
333,125,0,0,0.0,74,1,74,1,1
334,794,56,1,8680.0,132,2,74,1,0
335,794,56,1,6500.0,132,2,74,1,0
336,606,0,0,0.0,74,1,74,1,1
337,446,0,0,0.0,74,1,74,1,1
338,794,56,1,6320.0,132,2,74,1,0
339,794,56,1,17050.0,132,2,74,1,0
340,643,0,0,0.0,74,1,74,1,1
341,110,0,0,0.0,74,1,74,1,1
342,232,0,0,0.0,74,1,74,1,1
343,584,0,0,0.0,74,1,74,1,1
344,94,116,2,507400.0,370,6,254,4,0
345,794,56,1,6930.0,132,2,74,1,0
346,794,56,1,6240.0,132,2,74,1,0
347,520,0,0,63780419600.0,518,7,518,7,1
348,326,0,0,0.0,74,1,74,1,1
349,628,0,0,0.0,74,1,74,1,1
350,329,0,0,0.0,74,1,74,1,1
351,335,0,0,0.0,74,1,74,1,1
352,233,0,0,0.0,74,1,74,1,1
353,794,56,1,6380.0,132,2,74,1,0
354,730,0,0,31610901600.0,444,6,444,6,1
355,794,56,1,19230.0,132,2,74,1,0
356,794,56,1,7400.0,132,2,74,1,0
357,409,0,0,0.0,74,1,74,1,1
358,794,56,1,28880.0,132,2,74,1,0
359,794,56,1,6530.0,132,2,74,1,0
360,651,0,0,0.0,74,1,74,1,1
361,794,56,1,9280.0,132,2,74,1,0
362,794,56,1,6370.0,132,2,74,1,0
363,143,0,0,0.0,74,1,74,1,1
364,794,56,1,7680.0,132,2,74,1,0
365,794,56,1,7330.0,132,2,74,1,0
366,794,56,1,7310.0,132,2,74,1,0
367,372,0,0,0.0,74,1,74,1,1
368,794,56,1,6400.0,132,2,74,1,0
369,794,56,1,8250.0,132,2,74,1,0
370,509,0,0,0.0,74,1,74,1,1
371,794,56,1,9340.0,132,2,74,1,0
372,794,0,0,0.0,74,1,74,1,1
373,369,0,0,0.0,74,1,74,1,1
374,477,0,0,0.0,74,1,74,1,1
375,794,56,1,6450.0,132,2,74,1,0
376,176,0,0,0.0,74,1,74,1,1
377,794,56,1,6490.0,132,2,74,1,0
378,592,0,0,0.0,74,1,74,1,1
379,794,56,1,6410.0,132,2,74,1,0
380,467,0,0,0.0,74,1,74,1,0
381,794,56,1,6370.0,132,2,74,1,0
382,794,56,1,11840.0,132,2,74,1,1
383,794,56,1,7520.0,132,2,74,1,0
384,794,56,1,7480.0,132,2,74,1,0
385,794,56,1,6510.0,132,2,74,1,0
386,197,0,0,0.0,74,1,74,1,1
387,376,0,0,0.0,74,1,74,1,1
388,794,56,1,9660.0,132,2,74,1,0
389,367,0,0,1022247400.0,148,2,148,2,1
390,316,0,0,0.0,74,1,74,1,1
391,343,0,0,0.0,74,1,74,1,1
392,658,0,0,1026257300.0,148,2,148,2,1
393,794,56,1,6200.0,132,2,74,1,0
